# x, diffusivity, rel diff, damping coeff
2.119316894531250000e+03,1.997832160312465733e-06,1.083919843767088276e-01,6.078113339171660190e-01
2.130050048828125000e+03,1.997831995244775449e-06,1.084002377612229978e-01,6.095971572638276825e-01
2.139292968750000000e+03,1.997832548489378442e-06,1.083725755310733924e-01,6.111279217611178538e-01
2.150127197265625000e+03,1.997832006885514515e-06,1.083996557242697389e-01,6.129136394654086661e-01
2.159457275390625000e+03,1.997830962899601545e-06,1.084518550199182474e-01,6.144440654296634552e-01
2.170393554687500000e+03,1.997829349904062628e-06,1.085325047968641043e-01,6.162295081947208875e-01
2.179811523437500000e+03,1.997827573281031265e-06,1.086213359484322211e-01,6.177596145442815212e-01
2.189270507812500000e+03,1.997824940583304162e-06,1.087529708347873963e-01,6.192896000563503645e-01
2.200357910156250000e+03,1.997821299549510539e-06,1.089350225244685305e-01,6.210742551792995947e-01
2.209905761718750000e+03,1.997818574685827748e-06,1.090712657086080617e-01,6.226037882122905653e-01
2.219495117187500000e+03,1.997814684311613328e-06,1.092657844193290900e-01,6.241329521520192491e-01
2.230735107421875000e+03,1.997809899152699471e-06,1.095050423650218985e-01,6.259166033915469773e-01
2.240414794921875000e+03,1.997805037223801474e-06,1.097481388099218053e-01,6.274450027854528988e-01
2.250136230468750000e+03,1.997800367784318962e-06,1.099816107840473761e-01,6.289730582674073478e-01
2.259900146484375000e+03,1.997794360404851717e-06,1.102819797574096511e-01,6.305007187613076436e-01
2.269706542968750000e+03,1.997787657693283519e-06,1.106171153358195547e-01,6.320279143964032675e-01
2.279555175781250000e+03,1.997780700762067110e-06,1.109649618966399992e-01,6.335547215529030440e-01
2.289446533203125000e+03,1.997773517252927983e-06,1.113241373535963225e-01,6.350809926108663683e-01
2.299381347656250000e+03,1.997764810859406611e-06,1.117594570296649298e-01,6.366066586746291778e-01
2.309358398437500000e+03,1.997756957187779782e-06,1.121521406110063679e-01,6.381318083230411720e-01
2.319379394531250000e+03,1.997747292687339684e-06,1.126353656330112973e-01,6.396564840209073566e-01
2.329443359375000000e+03,1.997737839085855779e-06,1.131080457072065337e-01,6.411803788796647252e-01
2.339550781250000000e+03,1.997728455890251893e-06,1.135772054874008286e-01,6.427037717794279459e-01
2.349702148437500000e+03,1.997717619499920556e-06,1.141190250039677001e-01,6.442263932014136163e-01
2.359897460937500000e+03,1.997706979673576653e-06,1.146510163211628408e-01,6.457483099407401728e-01
2.370137207031250000e+03,1.997695028978486232e-06,1.152485510756838943e-01,6.472695983375148510e-01
2.380421875000000000e+03,1.997681773684411308e-06,1.159113157794300908e-01,6.487900464571779713e-01
2.390750488281250000e+03,1.997668696016333232e-06,1.165651991833338702e-01,6.503096488687731824e-01
2.399392333984375000e+03,1.997656798075422078e-06,1.171600962288915915e-01,6.515753693387439371e-01
2.409803710937500000e+03,1.997641689366427378e-06,1.179155316786265756e-01,6.530935726277196096e-01
2.420260009765625000e+03,1.997626379219510092e-06,1.186810390244908558e-01,6.546107887486423138e-01
2.430761962890625000e+03,1.997609777394041782e-06,1.195111302979063733e-01,6.561270423672811436e-01
2.439548095703125000e+03,1.997595971179903912e-06,1.202014410047999027e-01,6.573899300129388834e-01
2.450133300781250000e+03,1.997578977198458568e-06,1.210511400770670765e-01,6.589045779130725533e-01
2.460764404296875000e+03,1.997561170289617198e-06,1.219414855191355701e-01,6.604182543170802333e-01
2.469659179687500000e+03,1.997544985823439648e-06,1.227507088280130609e-01,6.616787629892637579e-01
2.480375000000000000e+03,1.997525620312682756e-06,1.237189843658576954e-01,6.631904188787606236e-01
2.489340576171875000e+03,1.997508526474989128e-06,1.245736762505390699e-01,6.644493111696037069e-01
2.500141845703125000e+03,1.997487835697006852e-06,1.256082151496528965e-01,6.659590015858176670e-01
2.509178710937500000e+03,1.997469683163527513e-06,1.265158418236198568e-01,6.672162704964471613e-01
2.520066162109375000e+03,1.997446813340953223e-06,1.276593329523343090e-01,6.687238114948551582e-01
2.529174804687500000e+03,1.997428068374864482e-06,1.285965812567713973e-01,6.699792794329422208e-01
